action,instance_count,avg_elapsed_ms,total_elapsed_ms,min_elapsed_ms,max_elapsed_ms
DirectoryWalk.SingleDir,2852492,47.618,135829464,0,884237
Tree.Traverse.Log,888188,16.337,14510189,0,417507
LocalStorage.DirectoriesYAMLDecode,1692,1.017,1720,0,11
LocalStorage.Read.directories,1522,4.033,6138,0,43
LocalStorage.DirectoriesYAMLEncode,907,0.029,26,0,4
LocalStorage.MutateDirectories,598,1.054,630,0,54
MCP.ToolCall.add_directory,557,1.208,673,0,6
DirectoryWalk.Refilter,378,0.000,0,0,0
Config.ApplyCLIOverrides,364,0.000,0,0,0
LocalStorage.Write.directories,324,1.031,334,0,17
Image.Render,270,3.867,1044,0,14
Image.Decode,221,50.842,11236,0,110
Image.LFSDetect,194,1.237,240,0,4
Image.LoadDiagnostics,194,6.505,1262,0,18
MCP.ToolCall.add_filter_item,180,2.044,368,1,6
Image.Load,176,69.517,12235,1,118
Image.LoadFrames,170,10.006,1701,0,22
Charter.ComputeStatus,154,2.234,344,1,22
MCP.ToolCall.set_global_filter,126,1.603,202,0,7
FileList.Sort,120,0.000,0,0,0
MCP.NotifyPost,113,1.035,117,0,5
Settings.Save,103,2.961,305,1,12
Image.Load.Base64,75,1.893,142,0,12
Slideshow.Advance,73,5557.137,405671,148,42881
MCP.ToolCall.remove_filter_item,72,1.000,72,0,3
FileWatcher.EventBatch,68,269.485,18325,250,424
FileList.BuildTree,60,0.000,0,0,0
MCP.ToolCall.update_directory_filter,54,1.648,89,0,19
Image.OpenSource,45,0.089,4,0,4
Image.Load.PNG,45,1.156,52,0,11
DirectoryWalk.Schedule,43,0.791,34,0,8
DirectoryWalk.Remove,36,0.000,0,0,0
MCP.ToolCall.list_directories,36,0.028,1,0,1
Window.ReportGeometry,22,0.000,0,0,0
DirectoryWalk.Parallel,21,630501.143,13240524,1604,1081730
MCP.ToolCall.clear_directories,18,2.111,38,2,3
MCP.ToolCall.list_filter_items,18,0.056,1,0,1
MCP.ToolCall.remove_directory,18,1.944,35,1,3
MCP.ToolCall.charter_status,15,5.533,83,3,22
FileTree.SelectionChange,13,15.077,196,0,26
Hotkey.Handle,13,28.462,370,11,103
FileTree.Collapse,10,223.900,2239,115,895
Layout.Load,8,0.125,1,0,1
SVG.Render,8,12.125,97,10,14
Panel.Show,6,0.000,0,0,0
DirectoryWalk.Run,6,21291.833,127751,1770,92736
Config.Seed,4,5.750,23,0,8
Config.Load,4,0.000,0,0,0
Settings.Load,4,0.250,1,0,1
AppLaunch.Total,4,430.250,1721,400,448
Theme.ScanCatalog,4,0.000,0,0,0
Theme.Load,4,0.750,3,0,1
LocalStorage.Read,4,18.500,74,18,19
AppLaunch.LoadDirectories,4,32.500,130,31,34
Window.ApplyState,4,12.500,50,4,29
Panel.Hide,4,1.000,4,0,2
Settings.YAMLEncode,3,3.000,9,3,3
FileTree.Expand,2,130.000,260,125,135
Slideshow.Start,2,393.000,786,82,704
